 400.0 -100.   5.9346   5.9346   5.9346
 400.0   34.   1.1181   1.1181   1.1181
 400.0   35.   1.1496   1.1496   1.1496
 400.0   36.   1.1805   1.1805   1.1805
 400.0   37.   1.2133   1.2133   1.2133
 400.0   38.   1.2460   1.2460   1.2460
 400.0   39.   1.2788   1.2788   1.2788
 400.0   40.   1.3125   1.3125   1.3125
 400.0   41.   1.3461   1.3461   1.3461
 400.0   42.   1.3803   1.3803   1.3803
 400.0   43.   1.4138   1.4138   1.4138
 400.0   44.   1.4484   1.4484   1.4484
 400.0   45.   1.4832   1.4832   1.4832
 400.0   46.   1.5166   1.5166   1.5166
 400.0   47.   1.5511   1.5511   1.5511
 400.0   48.   1.5845   1.5845   1.5845
 400.0   49.   1.6185   1.6185   1.6185
 400.0   50.   1.6513   1.6513   1.6513
 400.0   51.   1.6845   1.6845   1.6845
 400.0   52.   1.7166   1.7166   1.7166
 400.0   53.   1.7491   1.7491   1.7491
 400.0   54.   1.7805   1.7805   1.7805
 400.0   55.   1.8103   1.8103   1.8103
 400.0   56.   1.8416   1.8416   1.8416
 400.0   57.   1.8704   1.8704   1.8704
 400.0   58.   1.8995   1.8995   1.8995
 400.0   59.   1.9279   1.9279   1.9279
 400.0   60.   1.9540   1.9540   1.9540
 400.0   61.   1.9814   1.9814   1.9814
 400.0   62.   2.0072   2.0072   2.0072
 400.0   63.   2.0340   2.0340   2.0340
 400.0   64.   2.0588   2.0588   2.0588
 400.0   65.   2.0845   2.0845   2.0845
 400.0   66.   2.1070   2.1070   2.1070
 400.0   67.   2.1311   2.1311   2.1311
 400.0   68.   2.1547   2.1547   2.1547
 400.0   69.   2.1782   2.1782   2.1782
 400.0   70.   2.2045   2.2045   2.2045
 400.0   71.   2.2270   2.2270   2.2270
 400.0   72.   2.2519   2.2519   2.2519
 400.0   73.   2.2786   2.2786   2.2786
 400.0   74.   2.3055   2.3055   2.3055
 400.0   75.   2.3336   2.3336   2.3336
 400.0   76.   2.3626   2.3626   2.3626
 400.0   77.   2.3943   2.3943   2.3943
 400.0   78.   2.4288   2.4288   2.4288
 400.0   79.   2.4616   2.4616   2.4616
 400.0   80.   2.5011   2.5011   2.5011
 400.0   81.   2.5444   2.5444   2.5444
 400.0   82.   2.5872   2.5872   2.5872
 400.0   83.   2.6383   2.6383   2.6383
 400.0   84.   2.6930   2.6930   2.6930
 400.0   85.   2.7520   2.7520   2.7520
 400.0   86.   2.8203   2.8203   2.8203
 400.0   87.   2.8909   2.8909   2.8909
 400.0   88.   2.9773   2.9773   2.9773
 400.0   89.   3.0716   3.0716   3.0716
 400.0   90.   3.1735   3.1735   3.1735
 400.0   91.   3.2948   3.2948   3.2948
 400.0   92.   3.4310   3.4310   3.4310
 400.0   93.   3.5845   3.5845   3.5845
 400.0   94.   3.7659   3.7659   3.7659
 400.0   95.   3.9860   3.9860   3.9860
 400.0   96.   4.2323   4.2323   4.2323
 400.0   97.   4.5318   4.5318   4.5318
 400.0   98.   4.9020   4.9020   4.9020
 400.0   99.   5.3541   5.3541   5.3541
 400.0  100.   5.9346   5.9346   5.9346
 410.0 -100.   5.9369   5.9369   5.9369
 410.0  -99.   5.3594   5.3594   5.3594
 410.0  -98.   4.9086   4.9086   4.9086
 410.0  -97.   4.5396   4.5396   4.5396
 410.0  -96.   4.2405   4.2405   4.2405
 410.0  -95.   3.9942   3.9942   3.9942
 410.0  -94.   3.7747   3.7747   3.7747
 410.0  -93.   3.5932   3.5932   3.5932
 410.0  -92.   3.4394   3.4394   3.4394
 410.0  -91.   3.3031   3.3031   3.3031
 410.0  -90.   3.1817   3.1817   3.1817
 410.0  -89.   3.0793   3.0793   3.0793
 410.0  -88.   2.9849   2.9849   2.9849
 410.0  -87.   2.8985   2.8985   2.8985
 410.0  -86.   2.8273   2.8273   2.8273
 410.0  -85.   2.7588   2.7588   2.7588
 410.0  -84.   2.6995   2.6995   2.6995
 410.0  -83.   2.6446   2.6446   2.6446
 410.0  -82.   2.5932   2.5932   2.5932
 410.0  -81.   2.5499   2.5499   2.5499
 410.0  -80.   2.5064   2.5064   2.5064
 410.0  -79.   2.4667   2.4667   2.4667
 410.0  -78.   2.4334   2.4334   2.4334
 410.0  -77.   2.3988   2.3988   2.3988
 410.0  -76.   2.3667   2.3667   2.3667
 410.0  -75.   2.3374   2.3374   2.3374
 410.0  -74.   2.3090   2.3090   2.3090
 410.0  -73.   2.2818   2.2818   2.2818
 410.0  -72.   2.2548   2.2548   2.2548
 410.0  -71.   2.2296   2.2296   2.2296
 410.0  -70.   2.2067   2.2067   2.2067
 410.0  -69.   2.1803   2.1803   2.1803
 410.0  -68.   2.1564   2.1564   2.1564
 410.0  -67.   2.1325   2.1325   2.1325
 410.0  -66.   2.1081   2.1081   2.1081
 410.0  -65.   2.0853   2.0853   2.0853
 410.0  -64.   2.0593   2.0593   2.0593
 410.0  -63.   2.0343   2.0343   2.0343
 410.0  -62.   2.0073   2.0073   2.0073
 410.0  -61.   1.9813   1.9813   1.9813
 410.0  -60.   1.9538   1.9538   1.9538
 410.0  -59.   1.9275   1.9275   1.9275
 410.0  -58.   1.8989   1.8989   1.8989
 410.0  -57.   1.8696   1.8696   1.8696
 410.0  -56.   1.8407   1.8407   1.8407
 410.0  -55.   1.8094   1.8094   1.8094
 410.0  -54.   1.7794   1.7794   1.7794
 410.0  -53.   1.7479   1.7479   1.7479
 410.0  -52.   1.7154   1.7154   1.7154
 410.0  -51.   1.6833   1.6833   1.6833
 410.0  -50.   1.6500   1.6500   1.6500
 410.0  -49.   1.6172   1.6172   1.6172
 410.0  -48.   1.5832   1.5832   1.5832
 410.0  -47.   1.5498   1.5498   1.5498
 410.0  -46.   1.5154   1.5154   1.5154
 410.0  -45.   1.4819   1.4819   1.4819
 410.0  -44.   1.4472   1.4472   1.4472
 410.0  -43.   1.4128   1.4128   1.4128
 410.0  -42.   1.3792   1.3792   1.3792
 410.0  -41.   1.3451   1.3451   1.3451
 410.0  -40.   1.3116   1.3116   1.3116
 410.0  -39.   1.2780   1.2780   1.2780
 410.0  -38.   1.2453   1.2453   1.2453
 410.0  -37.   1.2127   1.2127   1.2127
 410.0  -36.   1.1801   1.1801   1.1801
 410.0  -35.   1.1491   1.1491   1.1491
 410.0  -34.   1.1178   1.1178   1.1178
 410.0  -33.   1.0870   1.0870   1.0870
 410.0  -32.   1.0577   1.0577   1.0577
 410.0  -31.   1.0282   1.0282   1.0282
 410.0  -30.   1.0000   1.0000   1.0000
 410.0  -29.   0.9719   0.9719   0.9719
 410.0  -28.   0.9447   0.9447   0.9447
 410.0  -27.   0.9185   0.9185   0.9185
 410.0  -26.   0.8925   0.8925   0.8925
 410.0  -25.   0.8676   0.8676   0.8676
 410.0  -24.   0.8435   0.8435   0.8435
 410.0  -23.   0.8198   0.8198   0.8198
 410.0  -22.   0.7969   0.7969   0.7969
 410.0  -21.   0.7747   0.7747   0.7747
 410.0  -20.   0.7531   0.7531   0.7531
 410.0  -19.   0.7322   0.7322   0.7322
 410.0  -18.   0.7121   0.7121   0.7121
 410.0  -17.   0.6927   0.6927   0.6927
 410.0  -16.   0.6739   0.6739   0.6739
 410.0  -15.   0.6556   0.6556   0.6556
 410.0  -14.   0.6379   0.6379   0.6379
 410.0  -13.   0.6209   0.6209   0.6209
 410.0  -12.   0.6044   0.6044   0.6044
 410.0  -11.   0.5885   0.5885   0.5885
 410.0  -10.   0.5731   0.5731   0.5731
 410.0   -9.   0.5583   0.5583   0.5583
 410.0   -8.   0.5439   0.5439   0.5439
 410.0   -7.   0.5302   0.5302   0.5302
 410.0   -6.   0.5168   0.5168   0.5168
 410.0   -5.   0.5040   0.5040   0.5040
 410.0   -4.   0.4915   0.4915   0.4915
 410.0   -3.   0.4796   0.4796   0.4796
 410.0   -2.   0.4680   0.4680   0.4680
 410.0   -1.   0.4568   0.4568   0.4568
 410.0    0.   0.4460   0.4460   0.4460
 410.0    1.   0.4568   0.4568   0.4568
 410.0    2.   0.4680   0.4680   0.4680
 410.0    3.   0.4796   0.4796   0.4796
 410.0    4.   0.4915   0.4915   0.4915
 410.0    5.   0.5040   0.5040   0.5040
 410.0    6.   0.5168   0.5168   0.5168
 410.0    7.   0.5302   0.5302   0.5302
 410.0    8.   0.5439   0.5439   0.5439
 410.0    9.   0.5583   0.5583   0.5583
 410.0   10.   0.5731   0.5731   0.5731
 410.0   11.   0.5885   0.5885   0.5885
 410.0   12.   0.6044   0.6044   0.6044
 410.0   13.   0.6209   0.6209   0.6209
 410.0   14.   0.6379   0.6379   0.6379
 410.0   15.   0.6556   0.6556   0.6556
 410.0   16.   0.6739   0.6739   0.6739
 410.0   17.   0.6927   0.6927   0.6927
 410.0   18.   0.7121   0.7121   0.7121
 410.0   19.   0.7322   0.7322   0.7322
 410.0   20.   0.7531   0.7531   0.7531
 410.0   21.   0.7747   0.7747   0.7747
 410.0   22.   0.7969   0.7969   0.7969
 410.0   23.   0.8198   0.8198   0.8198
 410.0   24.   0.8435   0.8435   0.8435
 410.0   25.   0.8676   0.8676   0.8676
 410.0   26.   0.8925   0.8925   0.8925
 410.0   27.   0.9185   0.9185   0.9185
 410.0   28.   0.9447   0.9447   0.9447
 410.0   29.   0.9719   0.9719   0.9719
 410.0   30.   1.0000   1.0000   1.0000
 410.0   31.   1.0282   1.0282   1.0282
 410.0   32.   1.0577   1.0577   1.0577
 410.0   33.   1.0870   1.0870   1.0870
 410.0   34.   1.1178   1.1178   1.1178
 410.0   35.   1.1491   1.1491   1.1491
 410.0   36.   1.1801   1.1801   1.1801
 410.0   37.   1.2127   1.2127   1.2127
 410.0   38.   1.2453   1.2453   1.2453
 410.0   39.   1.2780   1.2780   1.2780
 410.0   40.   1.3116   1.3116   1.3116
 410.0   41.   1.3451   1.3451   1.3451
 410.0   42.   1.3792   1.3792   1.3792
 410.0   43.   1.4128   1.4128   1.4128
 410.0   44.   1.4472   1.4472   1.4472
 410.0   45.   1.4819   1.4819   1.4819
 410.0   46.   1.5154   1.5154   1.5154
 410.0   47.   1.5498   1.5498   1.5498
 410.0   48.   1.5832   1.5832   1.5832
 410.0   49.   1.6172   1.6172   1.6172
 410.0   50.   1.6500   1.6500   1.6500
 410.0   51.   1.6833   1.6833   1.6833
 410.0   52.   1.7154   1.7154   1.7154
 410.0   53.   1.7479   1.7479   1.7479
 410.0   54.   1.7794   1.7794   1.7794
 410.0   55.   1.8094   1.8094   1.8094
 410.0   56.   1.8407   1.8407   1.8407
 410.0   57.   1.8696   1.8696   1.8696
 410.0   58.   1.8989   1.8989   1.8989
 410.0   59.   1.9275   1.9275   1.9275
 410.0   60.   1.9538   1.9538   1.9538
 410.0   61.   1.9813   1.9813   1.9813
 410.0   62.   2.0073   2.0073   2.0073
 410.0   63.   2.0343   2.0343   2.0343
 410.0   64.   2.0593   2.0593   2.0593
 410.0   65.   2.0853   2.0853   2.0853
 410.0   66.   2.1081   2.1081   2.1081
 410.0   67.   2.1325   2.1325   2.1325
 410.0   68.   2.1564   2.1564   2.1564
 410.0   69.   2.1803   2.1803   2.1803
 410.0   70.   2.2067   2.2067   2.2067
 410.0   71.   2.2296   2.2296   2.2296
 410.0   72.   2.2548   2.2548   2.2548
 410.0   73.   2.2818   2.2818   2.2818
 410.0   74.   2.3090   2.3090   2.3090
 410.0   75.   2.3374   2.3374   2.3374
 410.0   76.   2.3667   2.3667   2.3667
 410.0   77.   2.3988   2.3988   2.3988
 410.0   78.   2.4334   2.4334   2.4334
 410.0   79.   2.4667   2.4667   2.4667
 410.0   80.   2.5064   2.5064   2.5064
 410.0   81.   2.5499   2.5499   2.5499
 410.0   82.   2.5932   2.5932   2.5932
 410.0   83.   2.6446   2.6446   2.6446
 410.0   84.   2.6995   2.6995   2.6995
 410.0   85.   2.7588   2.7588   2.7588
 410.0   86.   2.8273   2.8273   2.8273
 410.0   87.   2.8985   2.8985   2.8985
 410.0   88.   2.9849   2.9849   2.9849
 410.0   89.   3.0793   3.0793   3.0793
 410.0   90.   3.1817   3.1817   3.1817
 410.0   91.   3.3031   3.3031   3.3031
 410.0   92.   3.4394   3.4394   3.4394
 410.0   93.   3.5932   3.5932   3.5932
 410.0   94.   3.7747   3.7747   3.7747
 410.0   95.   3.9942   3.9942   3.9942
 410.0   96.   4.2405   4.2405   4.2405
 410.0   97.   4.5396   4.5396   4.5396
 410.0   98.   4.9086   4.9086   4.9086
 410.0   99.   5.3594   5.3594   5.3594
 410.0  100.   5.9369   5.9369   5.9369
 420.0 -100.   5.9406   5.9406   5.9406
 420.0  -99.   5.3654   5.3654   5.3654
 420.0  -98.   4.9158   4.9158   4.9158
 420.0  -97.   4.5475   4.5475   4.5475
 420.0  -96.   4.2487   4.2487   4.2487
 420.0  -95.   4.0023   4.0023   4.0023
 420.0  -94.   3.7832   3.7832   3.7832
 420.0  -93.   3.6016   3.6016   3.6016
 420.0  -92.   3.4474   3.4474   3.4474
 420.0  -91.   3.3109   3.3109   3.3109
 420.0  -90.   3.1894   3.1894   3.1894
 420.0  -89.   3.0867   3.0867   3.0867
 420.0  -88.   2.9920   2.9920   2.9920
 420.0  -87.   2.9056   2.9056   2.9056
 420.0  -86.   2.8339   2.8339   2.8339
 420.0  -85.   2.7652   2.7652   2.7652
 420.0  -84.   2.7055   2.7055   2.7055
 420.0  -83.   2.6503   2.6503   2.6503
