 400.0 -100.   4.4186   5.6847   5.6389
 400.0   34.   1.0074   1.0020   1.0014
 400.0   35.   1.0095   1.0034   1.0022
 400.0   36.   1.0103   1.0043   1.0026
 400.0   37.   1.0134   1.0047   1.0034
 400.0   38.   1.0149   1.0064   1.0046
 400.0   39.   1.0170   1.0066   1.0053
 400.0   40.   1.0195   1.0081   1.0064
 400.0   41.   1.0203   1.0090   1.0079
 400.0   42.   1.0237   1.0103   1.0088
 400.0   43.   1.0253   1.0119   1.0101
 400.0   44.   1.0273   1.0129   1.0118
 400.0   45.   1.0298   1.0152   1.0127
 400.0   46.   1.0325   1.0159   1.0141
 400.0   47.   1.0357   1.0179   1.0158
 400.0   48.   1.0393   1.0192   1.0169
 400.0   49.   1.0410   1.0207   1.0182
 400.0   50.   1.0429   1.0226   1.0199
 400.0   51.   1.0453   1.0248   1.0219
 400.0   52.   1.0480   1.0262   1.0242
 400.0   53.   1.0510   1.0291   1.0257
 400.0   54.   1.0543   1.0310   1.0276
 400.0   55.   1.0581   1.0333   1.0297
 400.0   56.   1.0596   1.0346   1.0322
 400.0   57.   1.0639   1.0376   1.0338
 400.0   58.   1.0660   1.0394   1.0368
 400.0   59.   1.0685   1.0416   1.0391
 400.0   60.   1.0712   1.0441   1.0415
 400.0   61.   1.0741   1.0469   1.0443
 400.0   62.   1.0775   1.0500   1.0474
 400.0   63.   1.0811   1.0533   1.0507
 400.0   64.   1.0850   1.0570   1.0531
 400.0   65.   1.0893   1.0596   1.0570
 400.0   66.   1.0908   1.0639   1.0600
 400.0   67.   1.0957   1.0670   1.0632
 400.0   68.   1.0977   1.0704   1.0667
 400.0   69.   1.1033   1.0740   1.0705
 400.0   70.   1.1059   1.0780   1.0760
 400.0   71.   1.1121   1.0823   1.0804
 400.0   72.   1.1153   1.0869   1.0836
 400.0   73.   1.1222   1.0918   1.0887
 400.0   74.   1.1260   1.0970   1.0940
 400.0   75.   1.1300   1.1025   1.0997
 400.0   76.   1.1381   1.1084   1.1057
 400.0   77.   1.1428   1.1146   1.1120
 400.0   78.   1.1516   1.1212   1.1188
 400.0   79.   1.1570   1.1282   1.1242
 400.0   80.   1.1627   1.1355   1.1317
 400.0   81.   1.1728   1.1432   1.1395
 400.0   82.   1.1793   1.1514   1.1478
 400.0   83.   1.1904   1.1579   1.1547
 400.0   84.   1.2021   1.1669   1.1638
 400.0   85.   1.2098   1.1763   1.1734
 400.0   86.   1.2226   1.1884   1.1835
 400.0   87.   1.2360   1.1990   1.1941
 400.0   88.   1.2501   1.2099   1.2052
 400.0   89.   1.2599   1.2215   1.2169
 400.0   90.   1.2754   1.2336   1.2291
 400.0   91.   1.2970   1.2488   1.2419
 400.0   92.   1.3143   1.2622   1.2578
 400.0   93.   1.3325   1.2790   1.2720
 400.0   94.   1.3577   1.2939   1.2870
 400.0   95.   1.3781   1.3124   1.3053
 400.0   96.   1.4062   1.3319   1.3246
 400.0   97.   1.4362   1.3524   1.3421
 400.0   98.   1.4680   1.3741   1.3634
 400.0   99.   1.5020   1.3970   1.3859
 400.0  100.   1.5465   1.4212   1.4097
 410.0 -100.   4.2644   5.4962   5.4562
 410.0  -99.   4.0227   5.1063   5.0699
 410.0  -98.   3.8043   4.7751   4.7407
 410.0  -97.   3.6061   4.4725   4.4495
 410.0  -96.   3.4411   4.2126   4.1905
 410.0  -95.   3.2754   3.9801   3.9587
 410.0  -94.   3.1370   3.7710   3.7504
 410.0  -93.   2.9970   3.5823   3.5623
 410.0  -92.   2.8799   3.4043   3.3917
 410.0  -91.   2.7713   3.2490   3.2422
 410.0  -90.   2.6706   3.1071   3.1002
 410.0  -89.   2.5770   2.9772   2.9701
 410.0  -88.   2.4899   2.8578   2.8506
 410.0  -87.   2.4175   2.7479   2.7405
 410.0  -86.   2.3411   2.6511   2.6432
 410.0  -85.   2.2696   2.5569   2.5490
 410.0  -84.   2.2105   2.4696   2.4616
 410.0  -83.   2.1474   2.3885   2.3805
 410.0  -82.   2.0952   2.3130   2.3085
 410.0  -81.   2.0392   2.2426   2.2379
 410.0  -80.   1.9931   2.1769   2.1721
 410.0  -79.   1.9433   2.1155   2.1105
 410.0  -78.   1.9024   2.0580   2.0529
 410.0  -77.   1.8578   2.0041   1.9988
 410.0  -76.   1.8214   1.9535   1.9509
 410.0  -75.   1.7815   1.9060   1.9032
 410.0  -74.   1.7491   1.8613   1.8583
 410.0  -73.   1.7184   1.8193   1.8137
 410.0  -72.   1.6843   1.7797   1.7740
 410.0  -71.   1.6568   1.7424   1.7367
 410.0  -70.   1.6261   1.7048   1.7014
 410.0  -69.   1.5971   1.6717   1.6681
 410.0  -68.   1.5739   1.6381   1.6347
 410.0  -67.   1.5477   1.6087   1.6052
 410.0  -66.   1.5229   1.5788   1.5753
 410.0  -65.   1.4993   1.5525   1.5472
 410.0  -64.   1.4770   1.5258   1.5206
 410.0  -63.   1.4598   1.5005   1.4972
 410.0  -62.   1.4360   1.4767   1.4717
 410.0  -61.   1.4171   1.4523   1.4492
 410.0  -60.   1.3992   1.4310   1.4280
 410.0  -59.   1.3822   1.4109   1.4064
 410.0  -58.   1.3629   1.3903   1.3876
 410.0  -57.   1.3478   1.3708   1.3683
 410.0  -56.   1.3305   1.3525   1.3501
 410.0  -55.   1.3141   1.3351   1.3330
 410.0  -54.   1.3016   1.3188   1.3154
 410.0  -53.   1.2870   1.3020   1.3003
 410.0  -52.   1.2732   1.2876   1.2848
 410.0  -51.   1.2574   1.2726   1.2701
 410.0  -50.   1.2453   1.2586   1.2552
 410.0  -49.   1.2340   1.2442   1.2423
 410.0  -48.   1.2208   1.2318   1.2291
 410.0  -47.   1.2084   1.2191   1.2167
 410.0  -46.   1.1968   1.2072   1.2051
 410.0  -45.   1.1859   1.1948   1.1933
 410.0  -44.   1.1759   1.1845   1.1822
 410.0  -43.   1.1642   1.1738   1.1719
 410.0  -42.   1.1556   1.1638   1.1624
 410.0  -41.   1.1455   1.1535   1.1526
 410.0  -40.   1.1361   1.1450   1.1435
 410.0  -39.   1.1274   1.1351   1.1342
 410.0  -38.   1.1195   1.1270   1.1266
 410.0  -37.   1.1103   1.1186   1.1179
 410.0  -36.   1.1037   1.1110   1.1107
 410.0  -35.   1.0959   1.1040   1.1034
 410.0  -34.   1.0888   1.0968   1.0968
 410.0  -33.   1.0805   1.0903   1.0901
 410.0  -32.   1.0749   1.0836   1.0840
 410.0  -31.   1.0681   1.0777   1.0779
 410.0  -30.   1.0621   1.0724   1.0724
 410.0  -29.   1.0568   1.0670   1.0669
 410.0  -28.   1.0506   1.0623   1.0621
 410.0  -27.   1.0466   1.0574   1.0580
 410.0  -26.   1.0403   1.0533   1.0538
 410.0  -25.   1.0363   1.0491   1.0497
 410.0  -24.   1.0315   1.0457   1.0463
 410.0  -23.   1.0274   1.0422   1.0430
 410.0  -22.   1.0242   1.0395   1.0403
 410.0  -21.   1.0202   1.0368   1.0377
 410.0  -20.   1.0156   1.0341   1.0353
 410.0  -19.   1.0119   1.0315   1.0336
 410.0  -18.   1.0078   1.0297   1.0314
 410.0  -17.   1.0045   1.0281   1.0301
 410.0  -16.   0.9994   1.0259   1.0285
 410.0  -15.   0.9955   1.0240   1.0270
 410.0  -14.   0.9901   1.0223   1.0252
 410.0  -13.   0.9847   1.0203   1.0233
 410.0  -12.   0.9791   1.0175   1.0211
 410.0  -11.   0.9714   1.0139   1.0178
 410.0  -10.   0.9630   1.0089   1.0135
 410.0   -9.   0.9531   1.0026   1.0077
 410.0   -8.   0.9416   0.9942   0.9993
 410.0   -7.   0.9283   0.9829   0.9882
 410.0   -6.   0.9135   0.9678   0.9730
 410.0   -5.   0.8951   0.9476   0.9529
 410.0   -4.   0.8739   0.9220   0.9268
 410.0   -3.   0.8496   0.8895   0.8935
 410.0   -2.   0.8222   0.8494   0.8520
 410.0   -1.   0.7915   0.8012   0.8020
 410.0    0.   0.7572   0.7448   0.7436
 410.0    1.   0.7915   0.8011   0.8020
 410.0    2.   0.8221   0.8490   0.8516
 410.0    3.   0.8491   0.8890   0.8930
 410.0    4.   0.8731   0.9209   0.9256
 410.0    5.   0.8937   0.9458   0.9511
 410.0    6.   0.9113   0.9652   0.9705
 410.0    7.   0.9254   0.9792   0.9847
 410.0    8.   0.9377   0.9895   0.9945
 410.0    9.   0.9479   0.9965   1.0016
 410.0   10.   0.9567   1.0015   1.0059
 410.0   11.   0.9639   1.0046   1.0085
