Basename,Opt. Per.,N. Lines,Avg. Lon.,Avg. Lat.,Avg. Zen.,RDN,LOC,OBS,TIM,LBL,L0,Temperature,Beta Angle
M3G20090620T134022,OP2C,233,19.249,-81.179,99.545,0,1,1,1,0,0,166.4120026,2.83
M3G20090620T134322,OP2C,1336,-24.379,-87.176,88.357,1,1,1,1,1,1,166.4120026,2.83
M3G20090620T134543,OP2C,28770,-156.402,-12.981,36.819,1,1,1,1,1,1,166.326004,2.83
M3G20090620T175522,OP2C,233,16.767,-81.101,99.613,0,1,1,1,0,0,166.4120026,3.01
M3G20090620T181042,OP2C,28484,-159.642,13.276,35.852,1,1,1,1,1,1,166.154007,3.01
M3G20090620T185913,OP2C,1550,135.539,85.276,84.655,1,1,1,1,1,1,165.9819946,3.06
M3G20090621T022443,OP2C,233,12.77,-79.135,101.568,0,1,1,1,0,0,166.326004,3.34
M3G20090621T022743,OP2C,12066,-138.332,-63.498,64.527,1,1,1,1,1,1,166.2400055,3.34
M3G20090621T025007,OP2C,17535,-164.132,13.223,23.402,1,1,1,1,1,1,166.0680084,3.34
M3G20090621T063943,OP2C,232,10.45,-79.051,101.644,0,1,1,1,0,0,166.326004,3.49
M3G20090621T065503,OP2C,28358,-166.546,10.552,35.14,1,1,1,1,1,1,166.0680084,3.49
M3G20090621T074309,OP2C,1891,150.346,82.836,82.184,1,1,1,1,1,1,165.8959961,3.54
M3G20090621T160702,OP2C,5446,17.422,74.013,73.35,1,1,1,1,1,1,165.8099976,3.92
M3G20090621T192451,OP2C,150,3.555,-79.291,101.383,0,1,1,1,0,0,166.2400055,4.01
M3G20090621T192751,OP2C,4303,-42.512,-81.667,82.962,1,1,1,1,1,1,166.154007,4.01
M3G20090621T193712,OP2C,25229,-173.111,-5.303,31.142,1,1,1,1,1,1,165.9819946,4.01
M3G20090622T035521,OP2C,233,-0.581,-80.198,100.478,0,1,1,1,0,0,166.154007,4.35
M3G20090622T041041,OP2C,5835,-177.349,-42.448,43.392,1,1,1,1,1,1,165.9819946,4.4
M3G20090622T042035,OP2C,24414,59.686,30.223,37.238,1,1,1,1,1,1,165.9819946,4.4
M3G20090622T081031,OP2C,233,-2.948,-80.493,100.175,0,1,1,1,0,0,165.8959961,4.54
M3G20090622T081331,OP2C,5403,281.342,-78.234,79.188,1,1,1,1,1,1,165.8959961,4.54
M3G20090622T082242,OP2C,25201,389.552,-4.078,31.313,1,1,1,1,1,1,165.6380005,4.54
M3G20090622T122531,OP2C,233,-5.191,-80.296,100.366,0,1,1,1,0,0,165.8099976,4.68
M3G20090622T124051,OP2C,27048,213.636,9.739,34.267,1,1,1,1,1,1,165.8099976,4.68
M3G20090623T011032,OP2C,227,-12.048,-79.735,100.902,0,1,1,1,0,0,165.552002,5.2
M3G20090623T012541,OP2C,30250,176.737,15.304,38.397,1,1,1,1,1,1,165.2960053,5.2
M3G20090623T052531,OP2C,233,-14.397,-79.562,101.065,0,1,1,1,0,0,165.3800049,5.4
M3G20090623T052831,OP2C,27549,180.298,-25.721,39.226,1,1,1,1,1,1,165.2960053,5.4
M3G20090623T061515,OP2C,3198,167.175,47.978,47.524,1,1,1,1,1,1,165.0440064,5.4
M3G20090623T094031,OP2C,232,-16.749,-79.395,101.222,0,1,1,1,0,0,165.2960053,5.54
M3G20090623T095551,OP2C,21748,165.589,-4.824,27.426,1,1,1,1,1,1,165.128006,5.54
M3G20090623T103245,OP2C,7423,163.999,64.789,64.249,1,1,1,1,1,1,164.9600067,5.59
M3G20090623T104520,OP2C,1077,241.872,84.813,84.237,1,1,1,1,1,1,165.0440064,5.59
M3G20090623T135541,OP2C,232,-19.223,-79.728,100.878,0,1,1,1,0,0,165.2960053,5.68
M3G20090623T135841,OP2C,15446,177.754,-53.779,54.87,1,1,1,1,1,1,165.2120056,5.68
M3G20090623T142528,OP2C,3685,163.239,-6.828,10.193,1,1,1,1,1,1,165.128006,5.73
M3G20090623T143347,OP2C,9797,162.721,31.513,31.488,1,1,1,1,1,1,164.9600067,5.73
M3G20090623T181041,OP2C,233,-21.556,-79.588,101.009,0,1,1,1,0,0,165.2960053,5.88
M3G20090623T182551,OP2C,29792,161.141,15.234,38.625,1,1,1,1,1,1,165.128006,5.88
M3G20090624T024053,OP2C,232,-26.323,-79.892,100.688,0,1,1,1,0,0,165.128006,6.21
M3G20090624T024343,OP2C,1261,211.76,-88.136,90.123,1,1,1,1,1,1,165.0440064,6.21
M3G20090624T024856,OP2C,18357,156.704,-33.036,36.163,1,1,1,1,1,1,165.0440064,6.21
M3G20090624T032004,OP2C,9240,155.649,33.374,33.381,1,1,1,1,1,1,164.7880096,6.26
M3G20090624T065553,OP2C,233,-28.588,-79.772,100.799,0,1,1,1,0,0,164.9600067,6.35
M3G20090624T071103,OP2C,27289,153.61,8.342,34.166,1,1,1,1,1,1,164.7880096,6.4
M3G20090626T141143,OP2C,231,-47.195,-76.459,104.197,0,1,1,1,0,0,165.2120056,8.59
M3G20090626T142653,OP2C,30336,125.046,12.414,38.759,0,1,1,1,0,0,165.2120056,8.59
M3G20090626T142733,OP2C,29512,125.116,13.339,38.416,0,1,1,1,0,0,165.2120056,8.59
M3G20090626T182643,OP2C,232,-49.696,-75.869,104.784,0,1,1,1,0,0,165.2120056,8.74
M3G20090626T182943,OP2C,17714,105.938,-52.137,54.443,0,1,1,1,0,0,165.2120056,8.74
M3G20090626T190019,OP2C,306,121.106,-6.981,11.718,0,1,1,1,0,0,165.2120056,8.79
M3G20090626T190203,OP2C,162,121.237,-3.231,9.562,0,1,1,1,0,0,165.2120056,8.79
M3G20090626T190233,OP2C,27,121.276,-2.113,9.121,0,1,1,1,0,0,165.2120056,8.79
M3G20090626T190524,OP2C,9466,122.558,29.068,29.674,0,1,1,1,0,0,165.2120056,8.79
M3G20090627T025703,OP2C,232,-62.705,-70.409,110.01,0,1,1,1,0,0,165.2120056,9.07
M3G20090627T031213,OP2C,30255,116.602,5.99,38.137,1,1,1,1,1,1,165.2120056,9.12
M3G20090627T071203,OP2C,233,-64.944,-69.33,111.067,0,1,1,1,0,0,165.2120056,9.26
M3G20090627T071503,OP2C,30743,100.025,-27.261,44.331,1,1,1,1,1,1,165.2120056,9.26
M3G20090627T112713,OP2C,232,-67.193,-68.731,111.65,0,1,1,1,0,0,162.3899994,9.45
M3G20090627T114223,OP2C,30350,111.957,4.573,38.277,1,1,1,1,1,1,162.3899994,9.45
M3G20090627T154222,OP2C,233,-69.461,-68.099,112.263,0,1,1,1,0,0,162.3899994,9.59
M3G20090627T154523,OP2C,27598,92.009,-35.171,45.706,1,1,1,1,1,1,162.3899994,9.59
M3G20090627T163233,OP2C,2834,109.66,37.067,37.442,1,1,1,1,1,1,162.3899994,9.64
M3G20090627T195723,OP2C,227,-71.759,-67.011,113.324,0,1,1,1,0,0,162.3899994,9.73
M3G20090627T201242,OP2C,29903,107.294,3.02,38.265,1,1,1,1,1,1,162.3899994,9.78
M3T20090628T150804,OP2C,452,-81.894,-71.117,109.237,0,1,1,1,0,0,,
M3T20090628T155010,OP2C,6167,96.81,18.291,20.48,0,1,1,1,0,0,,
M3T20090628T192325,OP2C,388,-84.197,-70.93,109.411,0,1,1,1,0,0,,
M3T20090628T200530,OP2C,4065,94.468,15.735,18.391,0,1,1,1,0,0,,
M3T20090629T060120,OP2C,432,-90.069,-69.342,110.936,0,1,1,1,0,0,,
M3T20090629T063200,OP2C,2378,88.503,-20.43,23.721,0,1,1,1,0,0,,
M3T20090629T063401,OP2C,2386,88.527,-14.658,18.839,0,1,1,1,0,0,,
M3T20090629T080900,OP2C,432,-91.243,-69.23,111.038,0,1,1,1,0,0,,
M3T20090630T073716,OP2C,513,-103.425,-79.464,100.935,0,1,1,1,0,0,,
M3T20090630T083026,OP2C,4356,74.832,55.717,55.933,0,1,1,1,0,0,,
M3T20090630T083407,OP2C,564,74.927,61.557,61.595,0,1,1,1,0,0,,
M3T20090630T094506,OP2C,433,-104.626,-79.747,100.65,0,1,1,1,0,0,,
M3T20090630T103803,OP2C,4780,73.644,56.02,56.243,0,1,1,1,0,0,,
M3T20090630T115247,OP2C,154,-105.932,-79.376,101.006,0,1,1,1,0,0,,
M3T20090630T115255,OP2C,318,-105.845,-79.948,100.445,0,1,1,1,0,0,,
M3T20090630T124550,OP2C,4940,72.456,56.468,56.693,0,1,1,1,0,0,,
M3T20090701T090944,OP2C,423,-118.33,-79.642,100.669,0,1,1,1,0,0,,
M3T20090701T094734,OP2C,2049,60.427,10.349,16.332,0,1,1,1,0,0,,
M3T20090701T094918,OP2C,1984,60.425,15.216,19.563,0,1,1,1,0,0,,
M3T20090701T095059,OP2C,722,60.425,18.478,22.045,0,1,1,1,0,0,,
M3T20090701T111725,OP2C,423,-119.584,-79.601,100.701,0,1,1,1,0,0,,
M3T20090701T115515,OP2C,4760,59.241,13.607,18.616,0,1,1,1,0,0,,
M3T20090701T132506,OP2C,433,-120.837,-79.573,100.719,0,1,1,1,0,0,,
M3T20090701T140255,OP2C,1216,58.058,9.277,15.872,0,1,1,1,0,0,,
M3T20090701T140357,OP2C,3611,58.054,15.102,19.67,0,1,1,1,0,0,,
M3T20090704T134620,OP2C,432,-160.832,-76.86,103.119,0,1,1,1,0,0,,
M3T20090704T141557,OP2C,2452,17.964,-15.868,23.252,0,1,1,1,0,0,,
M3T20090704T141802,OP2C,2060,17.967,-10.408,19.873,0,1,1,1,0,0,,
M3T20090704T141947,OP2C,477,17.968,-7.339,18.362,0,1,1,1,0,0,,
M3T20090704T155400,OP2C,624,-162.014,-76.996,102.98,0,1,1,1,0,0,,
M3T20090704T162336,OP2C,574,16.798,-18.308,25.013,0,1,1,1,0,0,,
M3T20090704T162420,OP2C,96,16.799,-16.679,23.841,0,1,1,1,0,0,,
M3T20090705T131208,OP2C,415,-171.996,-79.734,100.362,0,1,1,1,0,0,,
M3T20090705T135130,OP2C,2186,5.224,14.144,22.035,0,1,1,1,0,0,,
M3T20090705T135321,OP2C,521,5.241,17.404,24.079,0,1,1,1,0,0,,
M3T20090705T152032,OP2C,791,225.968,-82.129,98.068,0,1,1,1,0,0,,
M3T20090705T160210,OP2C,4834,4.137,25.702,30.367,0,1,1,1,0,0,,
M3T20090707T161722,OP2C,433,159.352,-79.641,100.257,0,1,1,1,0,0,,
M3T20090707T164335,OP2C,2051,-22.547,-23.999,30.817,0,1,1,1,0,0,,
M3T20090707T164519,OP2C,2641,-22.533,-18.356,26.737,0,1,1,1,0,0,,
M3T20090707T164734,OP2C,77,-22.526,-15.086,24.588,0,1,1,1,0,0,,
M3T20090707T182504,OP2C,412,158.179,-79.568,100.319,0,1,1,1,0,0,,
M3T20090707T185722,OP2C,3415,-23.673,-5.194,20.23,0,1,1,1,0,0,,
M3T20090707T190015,OP2C,2600,-23.661,2.027,19.439,0,1,1,1,0,0,,
M3T20090709T125934,OP2C,431,135.253,-79.671,100.099,0,1,1,1,0,0,,
M3T20090709T134120,OP2C,3295,-47,21.697,29.574,0,1,1,1,0,0,,
M3T20090709T134408,OP2C,1534,-46.973,27.477,33.73,0,1,1,1,0,0,,
M3T20090709T150718,OP2C,453,134.237,-79.713,100.061,0,1,1,1,0,0,,
M3T20090709T154858,OP2C,1936,-48.172,19.809,28.349,0,1,1,1,0,0,,
M3T20090709T155036,OP2C,2843,-48.143,25.531,32.338,0,1,1,1,0,0,,
M3T20090709T171502,OP2C,453,133.214,-79.707,100.068,0,1,1,1,0,0,,
M3T20090709T175645,OP2C,786,-49.343,18.623,27.641,0,1,1,1,0,0,,
M3T20090709T175725,OP2C,2339,-49.323,22.366,30.124,0,1,1,1,0,0,,
M3T20090709T175924,OP2C,1702,-49.294,27.202,33.617,0,1,1,1,0,0,,
M3G20090712T045202,OP2C,228,99.605,-77.955,101.41,0,1,1,1,0,0,160.8699951,23.46
M3G20090712T050712,OP2C,18660,-82.325,-13.47,35.768,1,1,1,1,1,1,159.3099976,23.46
M3G20090712T053922,OP2C,11180,-81.572,59.156,61.888,1,1,1,1,1,1,159.3099976,23.51
M3G20090712T090732,OP2C,233,97.31,-77.636,101.689,0,1,1,1,0,0,158.6260071,23.66
M3G20090712T091032,OP2C,12087,-71.22,-64.297,67.64,1,1,1,1,1,1,158.6260071,23.66
M3G20090712T093119,OP2C,18041,-84.558,9.512,34.328,1,1,1,1,1,1,158.2460022,23.66
M3G20090712T132302,OP2C,232,94.989,-77.324,101.959,0,1,1,1,0,0,158.1699982,23.8
M3G20090712T133812,OP2C,19154,-87.015,-13.741,36.257,1,1,1,1,1,1,157.9420013,23.8
M3G20090712T141041,OP2C,5832,-86.692,46.397,50.739,1,1,1,1,1,1,157.8659973,23.85
M3G20090712T142133,OP2C,4698,-85.578,74.189,75.222,1,1,1,1,1,1,157.8659973,23.85
M3G20090712T173832,OP2C,233,92.64,-77.013,102.225,0,1,1,1,0,0,158.0179901,23.99
M3G20090712T174132,OP2C,6018,-58.767,-79.552,81.807,1,1,1,1,1,1,158.0179901,23.99
M3G20090712T175144,OP2C,24629,-89.331,-6.429,39.786,1,1,1,1,1,1,157.7899933,23.99
M3G20090712T215403,OP2C,226,90.273,-76.694,102.495,0,1,1,1,0,0,157.8659973,24.13
M3G20090712T220912,OP2C,30250,-91.413,12.352,45.732,1,1,1,1,1,1,157.6419983,24.18
M3G20090713T021002,OP2C,231,88.058,-77.726,101.538,0,1,1,1,0,0,157.8659973,24.33
M3G20090713T021312,OP2C,30547,-89.084,-19.875,47.881,1,1,1,1,1,1,157.6419983,24.33
M3G20090713T062542,OP2C,221,85.729,-77.821,101.432,0,1,1,1,0,0,157.6419983,24.47
M3G20090713T064052,OP2C,29910,-96.071,13.534,46.096,1,1,1,1,1,1,157.5679932,24.47
M3G20090713T104112,OP2C,233,83.326,-77.479,101.721,0,1,1,1,0,0,157.7159882,24.66
M3G20090713T104412,OP2C,30351,-92.339,-20.258,48.374,1,1,1,1,1,1,157.7159882,24.66
M3G20090713T145642,OP2C,228,80.899,-77.107,102.033,0,1,1,1,0,0,157.345993,24.8
M3G20090713T151202,OP2C,30050,-100.78,12.866,46.023,1,1,1,1,1,1,157.345993,24.85
M3G20090713T191212,OP2C,232,78.447,-76.745,102.332,0,1,1,1,0,0,157.6419983,24.99
M3G20090713T192732,OP2C,30058,-103.138,12.542,46.07,1,1,1,1,1,1,157.4199982,24.99
M3G20090713T232742,OP2C,233,75.976,-76.394,102.617,0,1,1,1,0,0,157.5679932,25.13
M3G20090713T233042,OP2C,30547,-97.39,-21.462,48.785,1,1,1,1,1,1,157.4199982,25.13
M3G20090714T034312,OP2C,232,73.516,-76.04,102.904,0,1,1,1,0,0,157.6419983,25.32
M3G20090714T035832,OP2C,15689,-108.048,-16.341,38.419,1,1,1,1,1,1,157.4199982,25.32
M3G20090714T075842,OP2C,228,71.04,-75.705,103.17,0,1,1,1,0,0,157.4940033,25.47
M3G20090714T080142,OP2C,30518,-100.784,-21.898,49.203,1,1,1,1,1,1,157.4940033,25.52
M3G20090714T121412,OP2C,233,68.575,-75.379,103.428,0,1,1,1,0,0,157.5679932,25.65
M3G20090714T122932,OP2C,29770,-112.547,11.135,46.329,1,1,1,1,1,1,157.345993,25.65
M3G20090714T162942,OP2C,232,66.127,-75.079,103.662,0,1,1,1,0,0,157.5679932,25.85
M3G20090714T163242,OP2C,30643,-104.199,-22.462,49.509,1,1,1,1,1,1,157.5679932,25.85
M3G20090714T204512,OP2C,232,63.696,-74.785,103.89,0,1,1,1,0,0,157.4940033,26
M3G20090714T210032,OP2C,30054,-117.219,10.609,46.41,1,1,1,1,1,1,157.4199982,26.04
M3G20090716T235253,OP2C,217,34.126,-75.954,102.381,0,1,1,1,0,0,156.6799927,28
M3G20090717T000932,OP2C,19700,-144.9,-9.392,38.399,1,1,1,1,1,1,156.3840027,28.05
M3G20090717T005406,OP2C,3780,-142.094,78.681,80.058,1,1,1,1,1,1,156.4579926,28.05
M3G20090717T040942,OP2C,228,31.021,-79.459,99.242,0,1,1,1,0,0,156.4579926,28.23
M3G20090717T041242,OP2C,1831,-20.069,-87.2,88.362,1,1,1,1,1,1,156.4579926,28.23
M3G20090717T041548,OP2C,28816,-147.03,-13.966,46.876,1,1,1,1,1,1,156.5319977,28.23
M3G20090717T082522,OP2C,233,28.37,-79.711,98.976,0,1,1,1,0,0,156.6799927,28.38
M3G20090717T084032,OP2C,27207,-149.803,8.525,44.866,1,1,1,1,1,1,156.5319977,28.38
M3G20090717T092657,OP2C,2758,-126.795,80.981,82.17,1,1,1,1,1,1,156.4579926,28.43
M3G20090717T093140,OP2C,2,265.669,87.487,87.989,1,1,1,1,1,1,156.6059876,28.43
M3G20090717T124052,OP2C,232,25.842,-79.513,99.108,0,1,1,1,0,0,156.7539978,28.52
M3G20090717T124352,OP2C,23129,-141.057,-35.659,50.33,0,1,1,1,0,0,156.7539978,28.52
M3G20090717T132344,OP2C,7051,-152.49,38.596,47.015,1,1,1,1,1,1,156.5319977,28.56
M3G20090717T165622,OP2C,233,23.35,-79.302,99.252,0,1,1,1,0,0,156.7539978,28.71
M3G20090717T171142,OP2C,14866,-154.008,-21.416,39.009,1,1,1,1,1,1,156.4579926,28.71
M3G20090717T173834,OP2C,220,-154.559,20.038,34.484,1,1,1,1,1,1,156.5319977,28.76
M3G20090717T174402,OP2C,807,-154.865,40.107,47.926,1,1,1,1,1,1,156.5319977,28.76
M3G20090717T174705,OP2C,9294,-139.615,65.525,68.947,1,1,1,1,1,1,156.5319977,28.76
