Gchl,Gwvl,Tchn,Twvl,Tfwhm,Tchn,Gchn
0,0,158,1973.11,12.72,158,61
0,0,159,1983.09,12.72,159,61
0,0,160,1993.07,12.73,160,61
0,0,161,2003.05,12.73,161,62
0,0,162,2013.03,12.73,162,62
0,0,163,2023.01,12.74,163,62
0,0,164,2033,12.74,164,62
0,0,165,2042.98,12.74,165,63
0,0,166,2052.96,12.74,166,63
0,0,167,2062.94,12.75,167,63
0,0,168,2072.92,12.75,168,63
0,0,169,2082.9,12.75,169,64
0,0,170,2092.88,12.75,170,64
0,0,171,2102.86,12.76,171,64
0,0,172,2112.84,12.76,172,64
0,0,173,2122.82,12.76,173,65
0,0,174,2132.81,12.76,174,65
0,0,175,2142.79,12.76,175,65
0,0,176,2152.77,12.76,176,65
0,0,177,2162.75,12.76,177,66
0,0,178,2172.73,12.76,178,66
0,0,179,2182.71,12.77,179,66
0,0,180,2192.69,12.77,180,66
0,0,181,2202.67,12.77,181,67
0,0,182,2212.65,12.77,182,67
0,0,183,2222.63,12.77,183,67
0,0,184,2232.62,12.77,184,67
0,0,185,2242.6,12.77,185,68
0,0,186,2252.58,12.77,186,68
0,0,187,2262.56,12.77,187,68
0,0,188,2272.54,12.77,188,68
0,0,189,2282.52,12.77,189,69
0,0,190,2292.5,12.77,190,69
0,0,191,2302.48,12.76,191,69
0,0,192,2312.46,12.76,192,69
0,0,193,2322.44,12.76,193,70
0,0,194,2332.42,12.76,194,70
0,0,195,2342.41,12.76,195,70
0,0,196,2352.39,12.76,196,70
0,0,197,2362.37,12.75,197,71
0,0,198,2372.35,12.75,198,71
0,0,199,2382.33,12.75,199,71
0,0,200,2392.31,12.75,200,71
0,0,201,2402.29,12.74,201,72
0,0,202,2412.27,12.74,202,72
0,0,203,2422.25,12.74,203,72
0,0,204,2432.23,12.74,204,72
0,0,205,2442.22,12.73,205,73
0,0,206,2452.2,12.73,206,73
0,0,207,2462.18,12.72,207,73
0,0,208,2472.16,12.72,208,73
0,0,209,2482.14,12.72,209,74
0,0,210,2492.12,12.71,210,74
0,0,211,2502.1,12.71,211,74
