 400.0 -100.   9.0729  11.6725  11.5785
 400.0   34.   1.0680   1.0623   1.0617
 400.0   35.   1.0855   1.0789   1.0776
 400.0   36.   1.1015   1.0950   1.0931
 400.0   37.   1.1201   1.1105   1.1091
 400.0   38.   1.1371   1.1275   1.1255
 400.0   39.   1.1547   1.1429   1.1415
 400.0   40.   1.1729   1.1598   1.1578
 400.0   41.   1.1892   1.1760   1.1747
 400.0   42.   1.2085   1.1927   1.1910
 400.0   43.   1.2259   1.2099   1.2077
 400.0   44.   1.2437   1.2263   1.2249
 400.0   45.   1.2622   1.2444   1.2413
 400.0   46.   1.2811   1.2605   1.2583
 400.0   47.   1.3007   1.2783   1.2757
 400.0   48.   1.3208   1.2952   1.2923
 400.0   49.   1.3386   1.3125   1.3093
 400.0   50.   1.3568   1.3303   1.3268
 400.0   51.   1.3756   1.3486   1.3448
 400.0   52.   1.3949   1.3659   1.3633
 400.0   53.   1.4147   1.3852   1.3807
 400.0   54.   1.4351   1.4033   1.3987
 400.0   55.   1.4561   1.4220   1.4171
 400.0   56.   1.4741   1.4394   1.4360
 400.0   57.   1.4962   1.4591   1.4538
 400.0   58.   1.5152   1.4774   1.4737
 400.0   59.   1.5347   1.4962   1.4925
 400.0   60.   1.5547   1.5155   1.5117
 400.0   61.   1.5752   1.5352   1.5314
 400.0   62.   1.5963   1.5556   1.5517
 400.0   63.   1.6179   1.5764   1.5725
 400.0   64.   1.6401   1.5978   1.5919
 400.0   65.   1.6630   1.6176   1.6137
 400.0   66.   1.6817   1.6402   1.6342
 400.0   67.   1.7057   1.6610   1.6551
 400.0   68.   1.7254   1.6824   1.6766
 400.0   69.   1.7507   1.7043   1.6987
 400.0   70.   1.7715   1.7269   1.7236
 400.0   71.   1.7982   1.7500   1.7470
 400.0   72.   1.8201   1.7738   1.7685
 400.0   73.   1.8483   1.7982   1.7931
 400.0   74.   1.8715   1.8233   1.8183
 400.0   75.   1.8952   1.8491   1.8443
 400.0   76.   1.9258   1.8756   1.8710
 400.0   77.   1.9510   1.9029   1.8985
 400.0   78.   1.9834   1.9310   1.9269
 400.0   79.   2.0101   1.9600   1.9531
 400.0   80.   2.0375   1.9898   1.9831
 400.0   81.   2.0729   2.0206   2.0140
 400.0   82.   2.1021   2.0524   2.0460
 400.0   83.   2.1398   2.0814   2.0756
 400.0   84.   2.1788   2.1151   2.1095
 400.0   85.   2.2111   2.1499   2.1445
 400.0   86.   2.2528   2.1899   2.1807
 400.0   87.   2.2962   2.2273   2.2182
